,sigmaT,d18Oc,lon,lat,species,species_idx,y_hat,residuals
123,22.877897262573242,-1.7200000000000002,-66.5,17.5,ruber,0,23.211141195293155,0.33324393271991326
124,22.877897262573242,-1.27,-66.5,17.5,sacculifer,1,23.92653431637125,1.0486370537980072
125,22.73456335067749,-1.73,-65.5,15.5,ruber,0,23.189188323400696,0.4546249727232059
126,22.73456335067749,-1.25,-65.5,15.5,sacculifer,1,23.954530746266208,1.2199673955887178
127,22.88961410522461,-1.8827272727272728,-65.5,17.5,ruber,0,22.923435439125363,0.033821333900753814
128,22.88961410522461,-1.29,-65.5,17.5,sacculifer,1,23.88724280746806,0.9976287022434498
129,23.064095973968506,-1.6500000000000001,-64.5,18.5,ruber,0,23.30740922676804,0.24331325279953475
130,23.064095973968506,-1.35,-64.5,18.5,sacculifer,1,23.793215733381547,0.7291197594130416
131,24.71047830581665,-0.58,-64.5,31.5,ruber,0,24.88688500698273,0.17640670116607993
132,24.71047830581665,-0.86,-64.5,31.5,sacculifer,1,24.51098132275085,-0.19949698306579933
133,22.559701442718506,-1.73,-63.5,12.5,sacculifer,1,23.204655663314757,0.6449542205962508
134,22.616297721862793,-2.025,-63.5,14.5,ruber,0,22.677277368380388,0.06097964651759469
135,22.616297721862793,-1.5,-63.5,14.5,sacculifer,1,23.548864236284377,0.932566514421584
136,22.908903121948242,-1.855,-63.5,17.5,ruber,0,22.974063083024443,0.06515996107620126
137,22.908903121948242,-1.24,-63.5,17.5,sacculifer,1,23.95449890580074,1.045595783852498
138,23.069058895111084,-1.7275,-63.5,18.5,ruber,0,23.175564375251668,0.10650548014058359
139,23.069058895111084,-1.35,-63.5,18.5,sacculifer,1,23.797279513633065,0.7282206185219806
140,22.673285007476807,-1.7149999999999999,-62.5,15.5,ruber,0,23.214033585593285,0.540748578116478
141,22.673285007476807,-1.29,-62.5,15.5,sacculifer,1,23.877371673159754,1.2040866656829472
142,22.793635845184326,-2.0625,-62.5,16.5,ruber,0,22.61043447787128,-0.18320136731304615
143,22.793635845184326,-1.26,-62.5,16.5,sacculifer,1,23.91448619173536,1.120850346551034
144,22.305662631988525,-1.9082222222222214,-61.5,12.5,ruber,0,22.871064794197522,0.5654021622089971
145,22.305662631988525,-1.225,-61.5,12.5,sacculifer,1,23.996838895739195,1.6911762637506698
146,22.54282283782959,-2.045,-61.5,14.5,ruber,0,22.61765642849805,0.07483359066846162
147,22.54282283782959,-1.35,-61.5,14.5,sacculifer,1,23.78793880187765,1.2451159640480611
148,22.69115686416626,-1.8250000000000002,-60.5,15.5,ruber,0,23.022016725400217,0.3308598612339573
149,22.69115686416626,-1.74,-60.5,15.5,sacculifer,1,23.161221804642306,0.4700649404760462
150,26.610517501831055,2.146,-59.5,-53.5,bulloides,2,27.01665421853628,0.4061367167052268
151,26.610517501831055,1.65,-59.5,-53.5,pachy_s,4,26.809190252026823,0.1986727501957688
152,25.936570644378662,2.69,-59.5,-43.5,bulloides,2,27.13200273320407,1.1954320888254095
153,22.7241849899292,-1.695,-59.5,15.5,ruber,0,23.252141950272936,0.5279569603437366
154,22.7241849899292,-1.22,-59.5,15.5,sacculifer,1,23.98461234682843,1.260427356899232
155,26.7330961227417,2.146,-58.5,-55.5,bulloides,2,27.014032769528843,0.2809366467871435
156,26.7330961227417,1.505,-58.5,-55.5,pachy_d,3,26.76061441632465,0.027518293582950548
157,26.7330961227417,1.95,-58.5,-55.5,pachy_s,4,26.948212664343828,0.21511654160212856
158,26.66095495223999,2.09,-58.5,-53.5,bulloides,2,27.008195206810143,0.34724025457015273
159,26.66095495223999,1.758333333333333,-58.5,-53.5,pachy_s,4,26.876958869413667,0.21600391717367629
160,26.745293617248535,2.3485714285714288,-57.5,-55.5,bulloides,2,27.077926348531545,0.3326327312830095
161,26.745293617248535,2.8166666666666664,-57.5,-55.5,pachy_s,4,27.16142756913804,0.4161339518895062
162,25.947053909301758,1.9460000000000002,-57.5,-45.5,bulloides,2,26.96055222386386,1.0134983145621028
163,25.947053909301758,0.98,-57.5,-45.5,pachy_d,3,26.42463565405504,0.47758174475328374
164,25.947053909301758,1.66,-57.5,-45.5,pachy_s,4,26.833111145748617,0.8860572364468595
165,25.85583782196045,2.31,-57.5,-41.5,bulloides,2,27.05333361370066,1.1974957917402094
166,24.989038944244385,-0.15000000000000002,-57.5,33.5,ruber,0,25.383223237629906,0.3941842933855213
167,26.865140438079834,2.245,-56.5,-56.5,bulloides,2,27.050146919087926,0.18500648100809158
168,26.865140438079834,2.873333333333333,-56.5,-56.5,pachy_s,4,27.159457777684757,0.29431733960492323
169,26.47938346862793,2.35,-56.5,-48.5,bulloides,2,27.06467892878972,0.5852954601617917
170,26.47938346862793,3.48,-56.5,-48.5,pachy_s,4,27.121597533984303,0.6422140653563737
171,25.093244075775146,-0.615,-55.5,42.5,ruber,0,24.81737388713961,-0.2758701886355368
172,25.093244075775146,1.845,-55.5,42.5,pachy_s,4,26.903762859483496,1.8105187837083498
173,24.981586456298828,2.07,-54.5,-38.5,bulloides,2,27.00432719264866,2.0227407363498315
