lat,lon,species,d18Oc,sigmaT
18.75,-16.83,"G, bulloides",-0.09,25.15909767150879
18.77,-16.89,"G, bulloides",-0.2,25.15909767150879
14.15,-17.87,"G, bulloides",-1.09,23.872346878051758
14.14,-17.65,"G, bulloides",-0.12,23.872346878051758
14.11,-17.6,"G, bulloides",-0.47,23.872346878051758
14.11,-17.55,"G, bulloides",-0.63,23.872346878051758
14.12,-17.54,"G, bulloides",-1.23,23.872346878051758
14.12,-17.53,"G, bulloides",-0.99,23.872346878051758
14.12,-17.52,"G, bulloides",-0.76,23.872346878051758
14.13,-17.45,"G, bulloides",-1.91,23.872346878051758
38.57,-25.03,"G, bulloides",0.64,25.979637145996094
38.91,-25.02,"G, bulloides",0.74,25.979637145996094
40.41,-25.75,"G, bulloides",0.85,26.0747127532959
1.5965,96.660333,"G, bulloides",-2.83,20.82721519470215
1.7596,96.7739,"G, bulloides",-3.12,20.82721519470215
1.9928,97.7903,"G, bulloides",-3.35,20.889984130859375
2.0489,97.7997,"G, bulloides",-3.17,20.385303497314453
2.4871,97.1209,"G, bulloides",-3.17,20.385303497314453
2.5634,96.7567,"G, bulloides",-3.05,20.385303497314453
2.5638,96.7573,"G, bulloides",-3.09,20.385303497314453
2.7833,96.4163,"G, bulloides",-3.24,20.385303497314453
2.8167,96.6135,"G, bulloides",-3.15,20.385303497314453
2.8299,96.3852,"G, bulloides",-3.03,20.385303497314453
2.9905,96.2202,"G, bulloides",-3.21,20.385303497314453
3.0112,96.2526,"G, bulloides",-2.33,20.385303497314453
3.1952,96.7782,"G, bulloides",-3.13,20.385303497314453
3.275,96.1538,"G, bulloides",-3.16,20.385303497314453
3.5179,96.3145,"G, bulloides",-3.16,20.385303497314453
3.8745,96.0074,"G, bulloides",-2.85,20.385303497314453
1.4495,98.0453,"G, bulloides",-3.03,20.520334243774414
43.998,-20.017,"G, bulloides",0.7,26.349576950073242
1.1549,98.0661,"G, bulloides",-2.57,20.520334243774414
0.9538,98.1338,"G, bulloides",-3.11,20.83856773376465
-1.6167,100.0002,"G, bulloides",-3.17,20.949308395385742
-1.563333,99.952167,"G, bulloides",-3.01,20.95477867126465
-1.495833,100.126333,"G, bulloides",-3.28,20.949308395385742
-1.4593,100.2252,"G, bulloides",-3.04,20.949308395385742
-1.2966,99.7197,"G, bulloides",-3.05,20.95477867126465
-1.178167,97.9815,"G, bulloides",-2.95,21.080163955688477
-0.954833,98.259833,"G, bulloides",-3.25,20.938079833984375
-0.944,99.521333,"G, bulloides",-3.05,20.8709659576416
-0.874833,99.795333,"G, bulloides",-3.2,20.8709659576416
-0.808833,99.6529999999999,"G, bulloides",-3.08,20.8709659576416
-0.789667,99.90833,"G, bulloides",-3.14,20.8709659576416
-0.768167,99.268167,"G, bulloides",-3.17,20.8709659576416
-0.696667,99.7629999999999,"G, bulloides",-3.19,20.8709659576416
0.6863,98.0705,"G, bulloides",-2.93,20.83856773376465
-0.674333,99.123167,"G, bulloides",-3.09,20.8709659576416
-0.5,98.85,"G, bulloides",-3.18,20.938079833984375
0.3413,98.1268,"G, bulloides",-3.21,20.83856773376465
0.9951,98.0298,"G, bulloides",-3.08,20.83856773376465
-1.6661,99.6805,"G, bulloides",-3.0,20.95477867126465
44.997,-24.66,"G, bulloides",0.47,26.353708267211914
40.33,13.21,"G, bulloides",1.14,27.1804256439209
38.49,14.3,"G, bulloides",1.46,26.844579696655273
39.41,13.34,"G, bulloides",1.06,27.0394344329834
40.35,11.43,"G, bulloides",1.36,27.3590145111084
42.0435,4.15066699999999,"G, bulloides",1.29,27.889249801635742
34.91,-7.58,"G, bulloides",-0.04,25.973434448242188
-1.8755,99.6118,"G, bulloides",-2.91,20.95477867126465
-4.1595,101.6372,"G, bulloides",-2.45,20.938047409057617
53.4,-27.48,"G, bulloides",1.4,26.84116554260254
62.0905,-17.819667,"G, bulloides",1.66,27.12946891784668
-45.534,174.9308,"G, bulloides",2.15199999999999,26.287172317504883
-43.5169999999999,79.867,"G, bulloides",1.96,26.399137496948242
57.93,-29.13,"G, bulloides",1.44547567659451,27.1096248626709
57.03,-10.06,"G, bulloides",1.19333333333333,26.974271774291992
56.36,-27.81,"G, bulloides",1.412,27.02043342590332
55.5,-14.5,"G, bulloides",1.24,26.935495376586914
52.7,-35.94,"G, bulloides",1.73,26.87071990966797
41.76,-47.35,"G, bulloides",1.2584720944,25.496091842651367
40.58,-10.33,"G, bulloides",0.81,26.237855911254883
40.5,-32.0,"G, bulloides",0.453333333333332,25.961883544921875
-35.97,80.93,"G, bulloides",0.84680009,25.846078872680664
-37.32,78.48,"G, bulloides",0.75996480344954,26.015546798706055
-38.51,-54.2,"G, bulloides",2.07,25.382902145385742
-41.54,-57.06,"G, bulloides",2.31,25.865034103393555
-43.5,79.84,"G, bulloides",1.481572,26.399137496948242
50.15,-27.03,"G, bulloides",1.2,26.659278869628906
-43.67,-59.33,"G, bulloides",2.69,25.944746017456055
46.88,-25.35,"G, bulloides",0.76,26.474998474121094
42.25,-25.67,"G, bulloides",0.74,26.19413185119629
42.87,-25.26,"G, bulloides",0.65,26.19413185119629
44.14,-24.92,"G, bulloides",0.67,26.353708267211914
45.4,-25.43,"G, bulloides",0.41,26.4108829498291
48.39,-25.13,"G, bulloides",0.59,26.580759048461914
50.54,-26.55,"G, bulloides",1.05,26.6656494140625
51.41,-25.76,"G, bulloides",1.17,26.72418212890625
53.59,-27.12,"G, bulloides",1.3,26.84116554260254
55.01,-28.27,"G, bulloides",1.44,26.9814395904541
56.44,-27.8,"G, bulloides",1.72,27.02043342590332
